n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.570e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.580e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.590e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.600e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.610e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.620e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.630e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.640e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.650e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	2.381e-04	3.090e-09	2.421e-01
1.660e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	3.090e-09	2.421e-01
1.670e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	3.090e-09	2.421e-01
1.680e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	5.957e-03	3.090e-09	2.421e-01
1.690e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	5.957e-03	3.090e-09	2.421e-01
1.700e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	5.957e-03	8.362e-09	2.421e-01
1.710e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	5.957e-03	8.362e-09	2.421e-01
1.720e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.421e-01
1.730e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.421e-01
1.740e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.421e-01
1.750e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.421e-01
1.760e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.421e-01
1.770e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.421e-01
1.780e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.421e-01
1.790e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.852e-03	8.362e-09	2.338e-01
