n.evals.q.1.0.	train.8.8.8.mlp.best.quality.final	train.8.8.8.mlp.best.quality.final.min	train.8.8.8.mlp.best.quality.final.max	train.8.8.8.hebbian.synapse.random.best.quality.final	train.8.8.8.hebbian.synapse.random.best.quality.final.min	train.8.8.8.hebbian.synapse.random.best.quality.final.max	train.8.8.8.hebbian.network.random.best.quality.final	train.8.8.8.hebbian.network.random.best.quality.final.min	train.8.8.8.hebbian.network.random.best.quality.final.max	train.8.8.8.freeForm.random.best.quality.final	train.8.8.8.freeForm.random.best.quality.final.min	train.8.8.8.freeForm.random.best.quality.final.max
1.790e+04	3.485e+02	3.345e+02	3.513e+02	2.571e+02	2.405e+02	3.287e+02	1.006e+02	8.771e+01	1.080e+02	1.343e+02	7.831e+01	1.380e+02
1.810e+04	3.443e+02	3.297e+02	3.570e+02	2.608e+02	2.181e+02	3.216e+02	1.017e+02	7.649e+01	1.153e+02	1.238e+02	4.875e+01	1.340e+02
1.830e+04	3.521e+02	3.127e+02	3.703e+02	2.605e+02	2.420e+02	3.290e+02	8.767e+01	5.817e+01	9.678e+01	1.235e+02	3.270e+01	1.355e+02
1.850e+04	3.483e+02	3.375e+02	3.633e+02	2.688e+02	1.995e+02	3.348e+02	9.134e+01	8.013e+01	1.063e+02	1.330e+02	4.276e+01	1.350e+02
1.870e+04	3.493e+02	3.283e+02	3.608e+02	2.638e+02	2.573e+02	3.663e+02	1.087e+02	9.252e+01	1.151e+02	1.078e+02	3.401e+01	1.340e+02
1.890e+04	3.580e+02	3.090e+02	3.696e+02	2.613e+02	2.305e+02	3.266e+02	1.067e+02	8.152e+01	1.178e+02	1.240e+02	3.883e+01	1.343e+02
1.910e+04	3.448e+02	2.823e+02	3.613e+02	2.618e+02	2.453e+02	3.298e+02	1.022e+02	9.233e+01	1.224e+02	1.238e+02	5.611e+01	1.373e+02
1.930e+04	3.505e+02	3.055e+02	3.748e+02	2.593e+02	2.443e+02	3.588e+02	1.058e+02	8.511e+01	1.110e+02	1.331e+02	5.701e+01	1.370e+02
1.950e+04	3.536e+02	3.119e+02	3.638e+02	2.593e+02	2.405e+02	3.325e+02	1.062e+02	6.771e+01	1.337e+02	1.235e+02	5.363e+01	1.375e+02
1.970e+04	3.600e+02	3.344e+02	3.632e+02	3.243e+02	2.418e+02	3.453e+02	9.637e+01	6.359e+01	1.050e+02	1.230e+02	6.185e+01	1.378e+02
1.990e+04	3.590e+02	3.501e+02	3.781e+02	3.260e+02	2.561e+02	3.513e+02	9.686e+01	7.358e+01	1.117e+02	1.343e+02	7.186e+01	1.380e+02
2.010e+04	3.548e+02	3.476e+02	3.640e+02	2.680e+02	2.425e+02	3.513e+02	1.127e+02	7.002e+01	1.300e+02	1.238e+02	7.234e+01	1.340e+02
2.030e+04	3.574e+02	3.352e+02	3.608e+02	2.613e+02	2.523e+02	3.518e+02	1.069e+02	8.698e+01	1.351e+02	1.243e+02	5.371e+01	1.380e+02
2.050e+04	3.540e+02	3.470e+02	3.657e+02	2.640e+02	2.491e+02	2.715e+02	1.019e+02	8.761e+01	1.140e+02	1.240e+02	5.921e+01	1.375e+02
2.070e+04	3.517e+02	3.340e+02	3.676e+02	2.675e+02	2.430e+02	3.723e+02	1.061e+02	8.561e+01	1.270e+02	1.233e+02	5.867e+01	1.375e+02
2.090e+04	3.641e+02	3.496e+02	3.726e+02	2.753e+02	2.548e+02	3.601e+02	8.775e+01	7.963e+01	9.301e+01	1.262e+02	5.832e+01	1.378e+02
2.110e+04	3.611e+02	3.299e+02	3.686e+02	2.995e+02	2.425e+02	3.358e+02	8.136e+01	7.058e+01	1.017e+02	1.319e+02	5.101e+01	1.370e+02
2.130e+04	3.561e+02	3.290e+02	3.661e+02	2.746e+02	2.484e+02	3.043e+02	8.849e+01	8.395e+01	9.860e+01	1.237e+02	6.329e+01	1.342e+02
2.150e+04	3.537e+02	3.454e+02	3.661e+02	2.635e+02	2.583e+02	3.321e+02	8.461e+01	7.127e+01	9.673e+01	1.307e+02	5.888e+01	1.375e+02
2.170e+04	3.618e+02	3.388e+02	3.733e+02	2.664e+02	2.580e+02	3.303e+02	8.762e+01	7.572e+01	9.872e+01	1.245e+02	6.876e+01	1.340e+02
2.190e+04	3.638e+02	3.442e+02	3.663e+02	2.603e+02	2.565e+02	3.013e+02	1.024e+02	8.087e+01	1.228e+02	1.235e+02	6.436e+01	1.375e+02
2.210e+04	3.503e+02	3.451e+02	3.691e+02	2.768e+02	2.507e+02	3.436e+02	9.852e+01	7.108e+01	1.208e+02	1.243e+02	7.330e+01	1.378e+02
2.230e+04	3.638e+02	3.482e+02	3.776e+02	3.408e+02	2.523e+02	3.658e+02	1.052e+02	6.993e+01	1.234e+02	1.233e+02	9.211e+01	1.375e+02
2.250e+04	3.591e+02	3.437e+02	3.710e+02	3.468e+02	2.623e+02	3.528e+02	1.122e+02	1.012e+02	1.225e+02	1.343e+02	1.002e+02	1.380e+02
2.270e+04	3.643e+02	3.536e+02	3.711e+02	2.723e+02	2.466e+02	3.496e+02	8.891e+01	7.769e+01	1.326e+02	1.240e+02	4.520e+01	1.378e+02
2.290e+04	3.581e+02	3.405e+02	3.708e+02	3.558e+02	2.708e+02	3.658e+02	1.228e+02	7.846e+01	1.337e+02	1.338e+02	7.962e+01	1.375e+02
2.310e+04	3.648e+02	3.506e+02	3.735e+02	3.103e+02	2.618e+02	3.545e+02	1.091e+02	9.203e+01	1.142e+02	1.248e+02	7.469e+01	1.380e+02
2.330e+04	3.699e+02	3.512e+02	3.758e+02	3.368e+02	2.613e+02	3.690e+02	1.079e+02	8.498e+01	1.155e+02	1.240e+02	7.383e+01	1.359e+02
2.350e+04	3.668e+02	3.432e+02	3.721e+02	2.861e+02	2.538e+02	3.596e+02	1.169e+02	1.029e+02	1.344e+02	1.228e+02	8.363e+01	1.373e+02
2.370e+04	3.598e+02	3.439e+02	3.746e+02	3.518e+02	2.508e+02	3.635e+02	1.048e+02	8.958e+01	1.190e+02	1.248e+02	6.371e+01	1.378e+02
2.390e+04	3.556e+02	3.505e+02	3.698e+02	3.323e+02	2.466e+02	3.720e+02	9.708e+01	9.335e+01	9.732e+01	1.235e+02	6.698e+01	1.378e+02
2.410e+04	3.606e+02	3.388e+02	3.698e+02	2.691e+02	2.618e+02	3.441e+02	1.132e+02	5.398e+01	1.231e+02	1.342e+02	6.132e+01	1.380e+02
2.430e+04	3.702e+02	3.508e+02	3.773e+02	3.411e+02	2.610e+02	3.608e+02	1.224e+02	9.108e+01	1.371e+02	1.273e+02	9.840e+01	1.380e+02
2.450e+04	3.604e+02	3.484e+02	3.688e+02	2.715e+02	2.588e+02	3.566e+02	1.201e+02	5.004e+01	1.291e+02	1.267e+02	4.771e+01	1.378e+02
2.470e+04	3.578e+02	3.489e+02	3.733e+02	3.448e+02	2.678e+02	3.673e+02	8.805e+01	7.194e+01	9.933e+01	1.340e+02	9.011e+01	1.380e+02
